"Language","original","english","german","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"pda_hideName","Hide","Hide","Verstecken","Hide","Убрать","Hide","Hide","Hide","Hide","Hide","Hide","Hide","Hide","Hide",
"pda_unhideName","Show","Show","Anzeigen","Show","Показ","Show","Show","Show","Show","Show","Show","Show","Show","Show",
"pda_factions_page","Faction","Faction","Fraktion","Faction","Фракция","Faction","Faction","Faction","Faction","Faction","Faction","Faction","Faction","Faction",
"pda_del_member","Dismiss","Dismiss","Rauswerfen","Dismiss","Изгнать","Dismiss","Dismiss","Dismiss","Dismiss","Dismiss","Dismiss","Dismiss","Dismiss","Dismiss",
"pda_add_member","Invite","Invite","Einladen","Invite","Приглашать","Invite","Invite","Invite","Invite","Invite","Invite","Invite","Invite","Invite",
"pda_global_chat","General Chat","General Chat","Allgemeiner Chat","General Chat","Общий чат","General Chat","General Chat","General Chat","General Chat","General Chat","General Chat","General Chat","General Chat","General Chat",
"gps_enabled","GPS enabled","GPS enabled","GPS aktiviert","GPS enabled","GPS enabled","GPS enabled","GPS enabled","GPS enabled","GPS enabled","GPS enabled","GPS enabled","GPS enabled","GPS enabled","GPS enabled",
"gps_disabled","GPS disabled","GPS disabled","GPS deaktiviert","GPS disabled","GPS disabled","GPS disabled","GPS disabled","GPS disabled","GPS disabled","GPS disabled","GPS disabled","GPS disabled","GPS disabled","GPS disabled",
"undercover_enabled","Undercover","Undercover","Undercover","Undercover","Undercover","Undercover","Undercover","Undercover","Undercover","Undercover","Undercover","Undercover","Undercover","Undercover",
"undercover_disabled","Visible","Visible","Sichtbar","Visible","Visible","Visible","Visible","Visible","Visible","Visible","Visible","Visible","Visible","Visible",
