"Language","original","english","german","russian","czech","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"GasMask_CM7_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 30 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min",
"GasMask_CN2F","Gas mask (CN2F)","Gas mask (CN2F)","Gasmaske (CN2F)","Противогаз (CN2F)","Gas mask (CN2F)","Gas mask (CN2F)","Gas mask (CN2F)","Gas mask (CN2F)","Gas mask (CN2F)","Gas mask (CN2F)","Gas mask (CN2F)","Gas mask (CN2F)","Gas mask (CN2F)","Gas mask (CN2F)",
"GasMask_CN2F_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_CN2F_Filter","Gas mask filter (CN2F)","Gas mask filter (CN2F)","Gasmaskenfilter (CN2F)","Фильтр от противогаза (CN2F)","Gas mask filter (CN2F)","Gas mask filter (CN2F)","Gas mask filter (CN2F)","Gas mask filter (CN2F)","Gas mask filter (CN2F)","Gas mask filter (CN2F)","Gas mask filter (CN2F)","Gas mask filter (CN2F)","Gas mask filter (CN2F)","Gas mask filter (CN2F)",
"GasMask_CN2F_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 45 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min",
"GasMask_GMS","Gas mask (GMS)","Gas mask (GMS)","Gasmaske (GMS)","Противогаз (GMS)","Gas mask (GMS)","Gas mask (GMS)","Gas mask (GMS)","Gas mask (GMS)","Gas mask (GMS)","Gas mask (GMS)","Gas mask (GMS)","Gas mask (GMS)","Gas mask (GMS)","Gas mask (GMS)",
"GasMask_GMS_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_GMS_Filter","Gas mask filter (GMS)","Gas mask filter (GMS)","Gasmaskenfilter (GMS)","Фильтр от противогаза (GMS)","Gas mask filter (GMS)","Gas mask filter (GMS)","Gas mask filter (GMS)","Gas mask filter (GMS)","Gas mask filter (GMS)","Gas mask filter (GMS)","Gas mask filter (GMS)","Gas mask filter (GMS)","Gas mask filter (GMS)","Gas mask filter (GMS)",
"GasMask_GMS_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 45 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min",
"GasMask_GMS_Valve","Gas mask valve (GMS)","Gas mask valve (GMS)","Gasmasken Ventil (GMS)","Клапан противогаза (GMS)","Gas mask valve (GMS)","Gas mask valve (GMS)","Gas mask valve (GMS)","Gas mask valve (GMS)","Gas mask valve (GMS)","Gas mask valve (GMS)","Gas mask valve (GMS)","Gas mask valve (GMS)","Gas mask valve (GMS)","Gas mask valve (GMS)",
"GasMask_GMS_Valve_DSC","This valve allows soldiers wearing the mask to rehydrate without removing the mask itself. The system consists of a special canteen cap, which will only allow water to flow through when connected to the tube leading to the mask.","This valve allows soldiers wearing the mask to rehydrate without removing the mask itself. The system consists of a special canteen cap, which will only allow water to flow through when connected to the tube leading to the mask.","Dieses Ventil ermöglicht es Soldaten, die die Maske tragen, zu rehydrieren, ohne die Maske selbst abzunehmen. Das System besteht aus einer speziellen Kantinenkappe, die nur dann Wasser durchlässt, wenn sie mit dem zur Maske führenden Schlauch verbunden ist.","Этот клапан позволяет солдатам, носящим маску, регидрировать, не снимая саму маску. Система состоит из специальной крышки для фляги, которая пропускает воду только при подключении к трубке, ведущей к маске.","This valve allows soldiers wearing the mask to rehydrate without removing the mask itself. The system consists of a special canteen cap, which will only allow water to flow through when connected to the tube leading to the mask.","This valve allows soldiers wearing the mask to rehydrate without removing the mask itself. The system consists of a special canteen cap, which will only allow water to flow through when connected to the tube leading to the mask.","This valve allows soldiers wearing the mask to rehydrate without removing the mask itself. The system consists of a special canteen cap, which will only allow water to flow through when connected to the tube leading to the mask.","This valve allows soldiers wearing the mask to rehydrate without removing the mask itself. The system consists of a special canteen cap, which will only allow water to flow through when connected to the tube leading to the mask.","This valve allows soldiers wearing the mask to rehydrate without removing the mask itself. The system consists of a special canteen cap, which will only allow water to flow through when connected to the tube leading to the mask.","This valve allows soldiers wearing the mask to rehydrate without removing the mask itself. The system consists of a special canteen cap, which will only allow water to flow through when connected to the tube leading to the mask.","This valve allows soldiers wearing the mask to rehydrate without removing the mask itself. The system consists of a special canteen cap, which will only allow water to flow through when connected to the tube leading to the mask.","This valve allows soldiers wearing the mask to rehydrate without removing the mask itself. The system consists of a special canteen cap, which will only allow water to flow through when connected to the tube leading to the mask.","This valve allows soldiers wearing the mask to rehydrate without removing the mask itself. The system consists of a special canteen cap, which will only allow water to flow through when connected to the tube leading to the mask.","This valve allows soldiers wearing the mask to rehydrate without removing the mask itself. The system consists of a special canteen cap, which will only allow water to flow through when connected to the tube leading to the mask.",
"GasMask_GP5","Gas mask (GP5)","Gas mask (GP5)","Gasmaske (GP5)","Противогаз (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)",
"GasMask_GP5_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_GP5_Black","Gas mask (GP5)","Gas mask (GP5)","Gasmaske (GP5)","Противогаз (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)","Gas mask (GP5)",
"GasMask_GP5_Black_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_GP5_Filter","Gas mask filter (GP5)","Gas mask filter (GP5)","Gasmaskenfilter (GP5)","Фильтр от противогаза (GP5)","Gas mask filter (GP5)","Gas mask filter (GP5)","Gas mask filter (GP5)","Gas mask filter (GP5)","Gas mask filter (GP5)","Gas mask filter (GP5)","Gas mask filter (GP5)","Gas mask filter (GP5)","Gas mask filter (GP5)","Gas mask filter (GP5)",
"GasMask_GP5_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 20 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min",
"GasMask_GP7","Gas mask (GP7)","Gas mask (GP7)","Gasmaske (GP7)","Противогаз (GP7)","Gas mask (GP7)","Gas mask (GP7)","Gas mask (GP7)","Gas mask (GP7)","Gas mask (GP7)","Gas mask (GP7)","Gas mask (GP7)","Gas mask (GP7)","Gas mask (GP7)","Gas mask (GP7)",
"GasMask_GP7_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_GP7_Filter","Gas mask filter (GP7)","Gas mask filter (GP7)","Gasmaskenfilter (GP7)","Фильтр от противогаза (GP7)","Gas mask filter (GP7)","Gas mask filter (GP7)","Gas mask filter (GP7)","Gas mask filter (GP7)","Gas mask filter (GP7)","Gas mask filter (GP7)","Gas mask filter (GP7)","Gas mask filter (GP7)","Gas mask filter (GP7)","Gas mask filter (GP7)",
"GasMask_GP7_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 45 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min",
"GasMask_GP21","Gas mask (GP21)","Gas mask (GP21)","Gasmaske (GP21)","Противогаз (GP21)","Gas mask (GP21)","Gas mask (GP21)","Gas mask (GP21)","Gas mask (GP21)","Gas mask (GP21)","Gas mask (GP21)","Gas mask (GP21)","Gas mask (GP21)","Gas mask (GP21)","Gas mask (GP21)",
